ID,Key Generated,Entropy Value,Basis Kind
1,Quantum Key: cc033b0597c7ed95b345ec25ae04f28b3f81c37d6e84c6c27f52758676b62601,Entropy: 1.19 bits,rect
2,Quantum Key: b8f9433c9c456d79413ad27d428dc311e99e2fac4654719d3ab8b90a72d5d652,Entropy: 1.24 bits,circle
3,Quantum Key: b9ec780e3066cb178c156fbca5eaa363a9fe1e23b6b34c0e7e5ff9830f39d16f,Entropy: 1.16 bits,ellipse
4,Quantum Key: 16c038ab7d55e9f5c47a38b7db6ee25a40bf75de723b89fd4edf4095c8720321,Entropy: 1.30 bits,ellipse
5,Quantum Key: 3cff221637cbe0579e1f2be45c19895d15c168754b98426ba70973b68fd5ac4c,Entropy: 1.48 bits,ellipse
6,Quantum Key: 0c500e1cd3c2abc963bcf27928a74cc58e58f42b8e9c5f0008245e6f168c6db5,Entropy: 1.62 bits,ellipse
7,Quantum Key: fdb332e7e74b8407551b7d4c60eafc0379c66879a3ce8c183982e3ab18c01eae,Entropy: 1.48 bits,ellipse
8,Quantum Key: 05dc58256b5eddba2cffd792364f1bdfdbf994b287e9965d3f7b0ddcf0507153,Entropy: 2.11 bits,ellipse
9,Quantum Key: 55ea0c10e6328cc06af05a0c2ad91fabe1c185f3f65448aa43f0a898da62ed18,Entropy: 2.00 bits,circle
10,Quantum Key: 74e9240d0925c82f63ff00bc1d5d80ded37f103a34495a0a2e6d8aa48d106f92,Entropy: 1.76 bits,circle
11,Quantum Key: 07ae2f968628097265b05718824214f9eee4885d63412145fdc675af146b18d7,Entropy: 1.73 bits,circle
12,Quantum Key: 3dab40ec119c5b3876b03257ab09e882d440dff08c07facc96665bf5b4382979,Entropy: 1.94 bits,ellipse
13,Quantum Key: 8634f591a91640fcb2a770bbd32ae15c4455b4deab53db3c95e01bec0f013a72,Entropy: 2.16 bits,rect
14,Quantum Key: 9be803a45f6d84972cc1abc666005a2d4beaabbd1bf51e06f4c9b9d373c21438,Entropy: 1.80 bits,ellipse
15,Quantum Key: cffaea2c8df43abb3d55a769421bea077a5a6afe778b10283d1ae51d1a12709f,Entropy: 1.75 bits,circle
16,Quantum Key: 79bcee25abc77d2cf04b013652810410e82bb142cd48900a8e235c157aa2418e,Entropy: 1.81 bits,rect
17,Quantum Key: 9b3d636577d76ec444135671bd39e53857822e45dc4ae9839fa8814adf53294f,Entropy: 1.74 bits,circle
18,Quantum Key: 6f12ef7b9b57f461d56943e87c162488c5465b703654da624b656c888f09a024,Entropy: 1.76 bits,rect
19,Quantum Key: 504109a106d40d34427a310d506d957f3d51379c6b285d41a4b7d8a22156560b,Entropy: 1.91 bits,circle
20,Quantum Key: 9ac273abba21e6fe46c11e222e7c8e5b814e95097b44bf3789f1806d4c8d8281,Entropy: 1.91 bits,ellipse
21,Quantum Key: 0c2b4e29991cd5e7adb76ca135412bbaecc43e6de06b07175d6b114e3e70634d,Entropy: 2.10 bits,circle
22,Quantum Key: 1a73af234ef7a7f3f93818f5c51bd87550bf5415131e0a0a9b5705274f30dcc3,Entropy: 2.00 bits,ellipse
23,Quantum Key: 19d463a80a7ba823ec3dc0f24cedb7029011f202bc709dba88b199096384af64,Entropy: 2.10 bits,circle
24,Quantum Key: 19a2f9b6e207783e8848c473ee02fb70ec7dd7680d19842c3d44ebc4cad8298a,Entropy: 1.82 bits,ellipse
25,Quantum Key: d2847810846a1a1ea9d852483606639f7f6768952f08306c35ebec32011c4222,Entropy: 1.80 bits,ellipse
26,Quantum Key: 7ddf46d2bb5b6be330818f0f582d859a81438f62cbcada634a88e91542b058e0,Entropy: 2.03 bits,ellipse
27,Quantum Key: c2f034d3ba58e7a7ca20a4bc11d4965d71b909881bc2da0126833e08cdfaa38d,Entropy: 1.67 bits,circle
28,Quantum Key: d068fdd4fc71b41a7ecc6b3cbc5b7576cad597ecd9652b147ed88d6f006c5298,Entropy: 1.68 bits,circle
29,Quantum Key: 9d4ed928b744abc3bcde3679fc1e47e4bd4dcc1207ac8abb94ca8ccf3d8c7b41,Entropy: 1.95 bits,rect
30,Quantum Key: 8f84dfcaef214171de55ebc4e679fa8762c25c47083ac9d9cd93d38042472e84,Entropy: 1.79 bits,ellipse
31,Quantum Key: 337db159460521f8588162fb2e49ddc07fb258b5e79f3a91780be236a3c5de70,Entropy: 1.76 bits,ellipse
32,Quantum Key: a1948227b0cdffc512c631a5af4887131ff44cba098ccb0da4b9611c8c6aabbc,Entropy: 1.71 bits,rect
33,Quantum Key: 391daf00fc691fa93afb1b7f8c348918875b28f28ec002966b4ba342868d96b3,Entropy: 1.79 bits,ellipse
34,Quantum Key: 4e15e7e5b09de9c7e6042ba1f1d355837b6d08cffa5dea620d7612b9acd5305e,Entropy: 1.67 bits,rect
35,Quantum Key: 51b7a2fce994108b70645e639444fc51ab3c88a611e8864f82cbb1cb5fd546c3,Entropy: 1.89 bits,rect
36,Quantum Key: 219a32b3f1ec241a6b9b4983756818b10bb125b734d886d06cd1e6d3d62d7b66,Entropy: 1.70 bits,ellipse
37,Quantum Key: 7fc7d8477901029ef33b9c0c85cc4fb3efc5e07412ad5ac85703e6fb7e086423,Entropy: 1.89 bits,ellipse
38,Quantum Key: 2e2e7d03e7d95c7fbb3e19802f62071b12e4469f48d9b0e7de624acd0c6aa3f8,Entropy: 2.06 bits,circle
39,Quantum Key: a18d4197cfb75908d2af71b50dcf1f31d3510b771ca7f9a3d557ecd87311f3ee,Entropy: 1.97 bits,rect
40,Quantum Key: d1bde0d127e3e7b73eab37f0a15b6e3e756d3feee6472003d4837bcb12b8ed08,Entropy: 1.73 bits,ellipse
41,Quantum Key: d642a661ba0e9e54079f1008a09b5208df42bd68f51774c05eeb0117e75078dd,Entropy: 2.03 bits,rect
42,Quantum Key: f98ba72ccedca7abf9493a118011ed5e4a4b645afecefdadb9ffd90506cf743c,Entropy: 1.77 bits,circle
43,Quantum Key: 722f8a9219432cdfaa7a2454f721903f594282126f9f8c2cee95e0a3006ca54a,Entropy: 2.09 bits,circle
