ID,Key Generated,Entropy Value,Basis Kind
1,Quantum Key: 0initial_run,Entropy: 0.00 bits,init
1,Quantum Key: dd3d7923bf08d5d0f23325bd642fbb8fac3bf4f5a4be608ed790b506d2e0ab01,Entropy: 5.57 bits,ellipse
2,Quantum Key: 9b587a91d671bf911764ea12144e5b25b30f016afb534f54bd89ab652c5f0d5a,Entropy: 4.18 bits,rect
3,Quantum Key: d885ee6efe0caf95e645dd3f5712e4cc54bddc79923fa36eef4ae41cb0f08b5f,Entropy: 4.57 bits,rect
4,Quantum Key: b867feeb8021cbded2d65f4ffed616f7bcd9423d80607840c19a2a9393a3eb33,Entropy: 6.18 bits,rect
5,Quantum Key: 76c9c1844cac09b4cb9d3494e5a3ce9a8a1d3d0ee334d6b3162f2b4d3ed8e0d0,Entropy: 6.74 bits,rect
6,Quantum Key: 605a943946faa41f62d338ec4fddb84ef2f9ec9a3abe03722b189468b48ddc03,Entropy: 6.34 bits,circle
7,Quantum Key: 794ff3bcd5c92e6ebb74fd95a99cd90767e8624f622bc32f2f35e33a8e4ec6e4,Entropy: 5.38 bits,ellipse
8,Quantum Key: ded2476ee3fe9924a4885f77ee472dd3c94e12551429fdf8ca79deaeb5e2724c,Entropy: 5.39 bits,rect
9,Quantum Key: f99d6a5a6e416601c704e816f5820083ad3871f6eb55c9aa2bf6593d97c7599b,Entropy: 2.44 bits,ellipse
10,Quantum Key: 95103d265edf090dbfb332c827c9079b8f1728fb4cd7b8734aff98502e6b4285,Entropy: 5.65 bits,ellipse
11,Quantum Key: 3daf3f317ddf74ce0cea21fe609caa92b747071c4069be91c7fda3f5fa33a43e,Entropy: 4.63 bits,ellipse
12,Quantum Key: de3dd98e2769f98dc87af2529fa946eb938b30ded71ce0f6993da09d7f9e2645,Entropy: 6.61 bits,circle
13,Quantum Key: 025e937d9403cb6a2da402d7531fbf6ff9d0826031b7217aa0b803f05a4e2c5e,Entropy: 4.17 bits,rect
14,Quantum Key: e0d2b3cbb1f9ed87d22d435c19bb37292f70d2840825146c40ba87be5fea00de,Entropy: 6.07 bits,rect
15,Quantum Key: c136802307461bd9ccb82eeb697d9f6b21d42832b2732482e112be3a4f2cdbcd,Entropy: 5.20 bits,rect
16,Quantum Key: 4af42c1216115c321370752cd1306b7c28e606d82298f76a492d9c91279e7210,Entropy: 6.21 bits,ellipse
17,Quantum Key: 27e865e08cbe736b6509b4e4d51536ff87c9b690debe5d2df21772c16162cc68,Entropy: 3.34 bits,circle
18,Quantum Key: c3a6e45b0611788fec49b220afaa52a577c0e2d54d13547748bf9d89063579ff,Entropy: 5.45 bits,ellipse
19,Quantum Key: 32c30adf9f08f835514670f188297bc2c52ec5ffe3d9e28952ed8cd3fd9e72c2,Entropy: 5.40 bits,ellipse
20,Quantum Key: cbd1cbcf77e713aedcd3e1e0c7d46e80b7d50f7fd7826ba1584c4e3892b5610c,Entropy: 3.10 bits,circle
21,Quantum Key: 503bd87edc1b38e8061a3c7cffb9426ca28cc32b327d1dada588272fab052327,Entropy: 5.79 bits,circle
22,Quantum Key: becad9644d755e3d92113eab8f134eb1931e78d150c87d9e3de01b82ac3df55d,Entropy: 5.20 bits,ellipse
23,Quantum Key: bfc84c73353617e2b1d681bcfbdceb7a731d5523ab28492bfa6c139fc7005729,Entropy: 5.89 bits,ellipse
24,Quantum Key: 0025a7f38975331f0e18fa7eba4d48f90b5cc0da8d9741b31650b822a9e91c9f,Entropy: 5.26 bits,circle
25,Quantum Key: 3858ddfaa4077335a08c706f558828dec1fc2d9725a3934fdca555a04d742031,Entropy: 6.17 bits,ellipse
