wID,Key Generated,Entropy Value,Basis Kind
1,Quantum Key: 6c5a27d788750f693929b213531da1d543c0ce4aed25ece1f8d87077adb94be9488dd29c63cb093e28f748d4b1c682ff4803362f5732e1d7b6d2176b54760fce,293811.705206,circle
1,Quantum Key: e5db156bd4fdc9f75b51982925d09c2719700561b57230647b6e06672ef0fb88e797f33e8953a429e5857454cfdcc110b669324c0d4f638d77e4a886f8c3bdec,141105.916351,ellipse
2,Quantum Key: a981213b66c353104af6ac04f87b8467336bae5beeb3aa3067844d0698a73ccbec439b1f5f699fb895bf9c9d0b2f01565e056089cdd9498adf26a8ece3acdf12,343104.282760,circle
3,Quantum Key: 0fbee906d11f7f8438dc65c598e62a32ecc6ea1f9e178ba031109dfee752a1887b748aa645aa4320a3f080731194f21e0afacb5c6b7a217e895e1a4a1118ee59,335043.978303,circle
4,Quantum Key: 1425c18b1be3f35f58828b31ebe9ea8789809def71661302a555e791f3642f120f9753aa64888782c97889365a0420993e9a6fa288ae7cb73f766de301d6d8db,634465.478258,rect
5,Quantum Key: c43d64b6289d8ac9ef3111e40a6009018773cdc534fa78f39b5a9ec9fbcfe7e82e209f70d0c475aea92f65f2d21b57bca914a5689e5a29cd14eef0d2bc3bebad,179838.364893,ellipse
6,Quantum Key: 946ad5ecd658117003f24675ba06a3463f61227ec27c544399310fe3eba583194b4c390ce14e2d5653fd9fc25823e84912861bea34c491c68fb0babb674d5ad4,470932.848435,rect
7,Quantum Key: 0817a2a5b2d6af01c47ef47b398fc92fcb64e78e1c4656818996ab88b7b3343b31900725413adea632afd0056010ec0ecfd4288b64dd095d59a5ee9ef2dd094c,168803.180484,circle
8,Quantum Key: 678611517de76a384bafae15cf3c708684d482174df7198a0eec1632ab1fc0b93cab70b9ae3f15d5e2bd18f58277f8e934f571f0bde41734a6a954833325b4cf,409263.589851,circle
9,Quantum Key: 3044dd0151d233149c6d073355fe8715386f7426192973b6fd19258cd59aee96acfa7a619f8d03954d3b30de88741de919f51fd3d45299e29df170151aca4315,216531.381614,circle
10,Quantum Key: 2f02d50d151630888a30f4633fe64e7c9a52c0230fd9065c5f0f2c6955120073f62d621d4b29daa1d346db61fc732f264895a3ddac617d8a9e1f920a628f577a,189223.365416,ellipse
11,Quantum Key: a105cba3c4fa6cc9eb401b6465f015453b62cfd70d9e08a9cb9d115a548fa244583aa07d250615288eb49d2ae6d933622bcd7622daa07295878797bdf60ceeb0,279275.589638,rect
12,Quantum Key: af738f0e52fe400365ceafaea2cbc0e8b941b070bd19afcf8b089eff01ec5741facd5185a4df0acb90889222bbd9f2c212bdf783ea7cd10c71d37b40b0c84905,227838.568356,ellipse
13,Quantum Key: b764dff433151139eeef0488b072e30b91f6d4c55ac448bbe126e2850fd02e79a62defce3765c7c3226a78ed35c95d1923da29d9d0453be6d47cff0df483cc91,149442.920230,ellipse
14,Quantum Key: a1f4f9735a29f915aa6531786cb7d5fb8a1b2ba91bce36a65cd308d4b506f893cc232c1588a1f1895122d0a03b41ca92f677ba34e1b58f2fc143badcac1752df,613120.537232,rect
15,Quantum Key: f6e74e2ade661c720d4bfc1e106e44dcd8997fd0a03888f141195426ef0c0d00013f2deb6e6da43337c460045dfdd66e34cf2bb07916e62349b0f8f0ae631800,85347.560713,ellipse
16,Quantum Key: 6327339e694f7d2657bfbaa7a136676d872fab6fdb1f84812dd1708d308dd52cd6b547bf0d452743c4df7e3b3b4178ea8503dcca0fa18b1737496fef7874c690,168032.699168,circle
17,Quantum Key: eb78b122f270b4f9c68bc3b62a8bdda9546f7b8d24177974b1cb6653375fd6a9d85b8c7e850bfc92099c42a9816d58441ad0c02c2a1b66895efc0e66d34566ac,245934.551491,circle
18,Quantum Key: 615aa1c33459dcb54f314103bb5e017204086c852b511b75ce62a99db06883fd6fc48471b16e80995fe518844390cb5d83c063405f0019ba81932f1a61d71af6,183889.777977,circle
19,Quantum Key: 6edb0629b4196bf9522d6de34880a1251de7bcf63e0c497da8b12e0d3ae0bd3f3531d20399eecc840f7dab7c918800a771069608f6ed9363df433d9b4fcc2563,182106.272135,circle
20,Quantum Key: 0949f12a9e82a66a1a55d0a8f3746eb8558dfc8a349214913380cbabf5b6d4eb13a1c9dfb093c41325b64ddae3125ae29504f61877481fdc5e9ee217a3a3919b,136902.004311,ellipse
21,Quantum Key: aa5433a4fc13c81278f6b51ac2ce0928523af488c4992f3941a03642c9e33d201e8c82e9292a5fc74cba1bfb8e4c4e31b8a8e42953ef2c7ab2326d8ef2beda47,326186.528404,circle
22,Quantum Key: 4af822e84589418ca27f18194acf513f5fc70cf6b5c7e2f79d915c5402c2c8a5237874f430a37f39af6053b8697794b409dcab147300e25f0d253d70c4d8802a,568962.264102,rect
