ID,Key Generated,Entropy Value,Basis Kind
1,Quantum Key: a658edfeb1a08161070c6b9de2c761b07e48d0ee363e317d49d8f43d2b4e8aa5,Entropy: 256.00 bits,ellipse
2,Quantum Key: 2f33fa10ef6e77226b993c67e22e8fba383cb04fe1fa510b236db2d59640de3e,Entropy: 256.00 bits,circle
3,Quantum Key: 452775572f12ff3dbc83e1df4c21d64e226df12552601e5771fb13b17d4821bb,Entropy: 256.00 bits,rect
4,Quantum Key: a064ff512fcffe8aa44ad8dae1d902f07f31f3bd5977cddc7b75550e1be17c37,Entropy: 256.00 bits,ellipse
5,Quantum Key: 1e5037a0f0040778e4a920cd1e32f434488ea599c6ba1ea076979eae73717a33,Entropy: 256.00 bits,ellipse
6,Quantum Key: 6d204863be72fb2817a47e5814bc92aed379c3e67e01ef0adcd257a7381eaa07,Entropy: 256.00 bits,ellipse
7,Quantum Key: 4f6f3b24c9e822ed47a8aa1a9d9f403e8109abc8b5af76aea740b03285c1ba46,Entropy: 256.00 bits,rect
8,Quantum Key: c9b5c01e28a3d475ca4b8ce3bb208108cc8f138d28479ec4d3799afbe8b87896,Entropy: 256.00 bits,circle
9,Quantum Key: 12bba77c7e66a0be960aa173733e977a18a542ba23e06adce3df8c0633e63144,Entropy: 256.00 bits,rect
10,Quantum Key: b144268a488963b9854bc28e6d85ed78cd131ed0004dfef43b639a9e640bd4b0,Entropy: 256.00 bits,circle
11,Quantum Key: ef302b6fdcac5ee9be1da73a7fc7631b2702a79d39678d550282b0b3099faa06,Entropy: 256.00 bits,circle
12,Quantum Key: 774ae2a0d2c011f1518ad3767199568a98ef7daa6ac371c8fe2663ba565c0b6b,Entropy: 256.00 bits,ellipse
13,Quantum Key: 5ebcb4f8659ff005a926de9f72828277d7b1f879ae4954a146ef03edf57d1fbd,Entropy: 256.00 bits,ellipse
14,Quantum Key: eefc3c5405c3a86643f0ca7d8d55a3e0bf63c52861f782198f3591fd2ecd7ef8,Entropy: 256.00 bits,circle
15,Quantum Key: 58acffedf0cc124ddce8d14fa9ab9c54faf5301d144417b51fbc53f2c4492173,Entropy: 256.00 bits,circle
16,Quantum Key: bb1531df5181df18132aa62d7d7bcf27ca89cbb97f8dee0c178a816c36014702,Entropy: 256.00 bits,rect
17,Quantum Key: ecddd387aaee10f7b22debb0d352b5c3123575bfcf97b08cd923d2e1581c4554,Entropy: 256.00 bits,rect
18,Quantum Key: 97b7c904eb20c420c5aaa923b3de9c52e2a241a9060929f9b9b120f6889ed538,Entropy: 256.00 bits,ellipse
19,Quantum Key: 404c90164f1f46323146eb6a688c854f61228b0fee4319b102594f1c24435191,Entropy: 256.00 bits,circle
20,Quantum Key: 4e2bc01deb4e19b41d93ee5f2e0ecc67dbe88930633e6497bc74370e5860ef97,Entropy: 256.00 bits,rect
21,Quantum Key: 81aed41ea58cdf54c5b633c34183d6292335159b801d0fb608f206729364d4f4,Entropy: 256.00 bits,circle
22,Quantum Key: 716df64c1ecb07d23553a90ca3b8cfd4d1528c1f296f6a59446e4654c7dd17dd,Entropy: 256.00 bits,rect
