ID,Key Generated,Entropy Value,Basis Kind
2,Quantum Key: 0a09f60a13e7ff4febbc9a75d5e428853bf893cc73af91f7586c83e65d404026,Entropy: 0.99 bits,ellipse,rect
3,Quantum Key: b8df16ad64e24aa437ee48c18a38d66dff38d211e9034b8d655e938384f3add6,Entropy: 0.97 bits,ellipse,circle
4,Quantum Key: 8e1c86de79fa13ac50f81fc2124303b93de638baac32bf6485eee67dfea8e974,Entropy: 1.15 bits,circle,circle
5,Quantum Key: 5665056bff3ce74a2d799e3460a4d68b9905f0eb77d44b923d371abaeef166c4,Entropy: 1.10 bits,ellipse,ellipse
6,Quantum Key: fbd45fa5e5e19e31415c94fc621fa9377ec318cb7732682113b85c2a0e9fc3cc,Entropy: 1.37 bits,circle,ellipse
7,Quantum Key: 70247389d035aafc15ddbf307521f680d37a97907820f558dc91cd3936af67b0,Entropy: 1.16 bits,ellipse,ellipse
8,Quantum Key: e4a0d62a3ed15cc9c61dfb400ebe16040e31619c70c3299b68c06f06a475de11,Entropy: 1.21 bits,circle,circle
9,Quantum Key: 8babf1af0213e5c70bf424fc63ec899764b6e51936eb6b52046a315cfef720c7,Entropy: 1.44 bits,ellipse,circle
10,Quantum Key: d725ff36d9b6ca237394cc3d1c0ce66933183486c1c5f4af942a90607d1b4f83,Entropy: 1.66 bits,circle,ellipse
11,Quantum Key: 8d7ab29d6ad2df26bcdc0472707c31bf656af34f246bf0b65e520acc9959fbc1,Entropy: 1.64 bits,circle,ellipse
12,Quantum Key: 376828bf44d2ba82d8e247cb633f4b27f2f9fb0ae3082764daf334f2aa1686cf,Entropy: 1.61 bits,rect,circle
13,Quantum Key: 5fe2ffd918fa94969e5ad30264c6519a8f4ab6c0e1b571797181b984270e2c29,Entropy: 1.71 bits,ellipse,rect
14,Quantum Key: d2a8a587a88c36c18d6b031f63264480c2b0538dc23617316941fb22d555ac25,Entropy: 1.42 bits,rect,ellipse
15,Quantum Key: 7691aab90878f7456ada64e25ac0b60e0e6d976405e9522832c9e2fa8a90a3b8,Entropy: 1.34 bits,rect,ellipse
16,Quantum Key: 0d8fd790db5e27793e47ab52f2ea1e34aa321da73e6e7c9e7cb2e10e2a50c4d5,Entropy: 1.39 bits,circle,rect
17,Quantum Key: a7d105138c37fe71cd6c20b969b967e7adef8bb8bc95f81dca6fd6b408975ccf,Entropy: 1.18 bits,ellipse,circle
18,Quantum Key: 85e8813d41b5e49b9c35b04ffa3ee447d79dd8420a23a17ccce24149f8ff1dc4,Entropy: 1.14 bits,rect,ellipse
19,Quantum Key: f234881abb81aa3979ffb63d93bf93e473e5e66e2eb4f2643a88c5f83a29db3f,Entropy: 1.29 bits,circle,rect
20,Quantum Key: 9c82ec66ddb7bf9712636d6d0120a812168295d3866e81df5b7a354232a6c459,Entropy: 1.26 bits,rect,ellipse
21,Quantum Key: 7a284e77e2f3762debf4f4cf82d32109164a81a06ec42a8076dbd187ad7c6f84,Entropy: 1.37 bits,ellipse,ellipse
22,Quantum Key: be5d7fd0f73fe2d962bb421f3df1f1ddbde99c53c6b2a534c87b683d66cae90d,Entropy: 1.19 bits,ellipse,ellipse
23,Quantum Key: ee631e22a32bc82c41a5bf8a19dad3118717127fb5ad059630e5d3c7cfaa4e83,Entropy: 1.21 bits,rect,circle
24,Quantum Key: d83a6bfd259f90e8d39f1b7dfe268a4a22a652ac282b56ee02901ce4982f9f57,Entropy: 1.44 bits,circle,ellipse
25,Quantum Key: 59b297a46e8e613240f1486abcf37b6a69c4d467019cfca4bd7110f3691ee2c5,Entropy: 1.45 bits,ellipse,rect
26,Quantum Key: 56184dca967a0f9a3e6799d81c0b134b2f66f7ec89ff65eee3b7909a67a38b42,Entropy: 1.42 bits,circle,ellipse
27,Quantum Key: d12c31b98a8607c78a3a57085e01668713d35fbbf68a52f8c0fc2baa984a6b9d,Entropy: 1.24 bits,ellipse,ellipse
28,Quantum Key: 42220ec67e9cdf362f11e8ed7d5e144a1421378cee09a2adb3c966fe3a8aea24,Entropy: 1.20 bits,ellipse,circle
29,Quantum Key: 120810bd04e12d3a8a39451a4ed8ca3423f9ba29f4b9519930854e24ffea6aa9,Entropy: 1.19 bits,rect,rect
30,Quantum Key: 9469e5562b7ec0982a07bfb32f498a53e526a9afc6a006cb53a43784d0275423,Entropy: 1.05 bits,rect,ellipse
31,Quantum Key: 39d282e0c71cfe23854ca42b075dcacd40d6524ab0dc6bc17909d9806ed109b2,Entropy: 1.25 bits,rect,ellipse
32,Quantum Key: e2ed937bb9f249f6cc5d53e4247201b837b97c181f76d1cf5cd205174ccf71c4,Entropy: 1.13 bits,circle,ellipse
33,Quantum Key: 081ed48dc04de916c4f1b257a330f0e13b1349b8c31c7959c27489555f70f153,Entropy: 1.51 bits,ellipse,ellipse
34,Quantum Key: 93a9831c8d23d451017fe39ed3bbbd0afb0c11e8682a09165c776a53e9e2e5a3,Entropy: 1.40 bits,ellipse,rect
35,Quantum Key: 51c51b6bde2606319ac9e4bccd964ca95eff675ff93537f9d502a166625b9e47,Entropy: 1.13 bits,rect,rect
36,Quantum Key: bce13f952e0be618438b2b4ff517b172b2b92a6b9d4687c3cff3af94345a54dc,Entropy: 1.24 bits,ellipse,ellipse
37,Quantum Key: f684d68196d2aab941fd1d2800ca523d02288c6ad4c839545b2e395cbe44da7a,Entropy: 1.43 bits,circle,rect
38,Quantum Key: 5bec7e99974c8a54b5b0dfe2c260129cbcaabfc7c1a74f7a9794ed0409e730e0,Entropy: 1.52 bits,ellipse,rect
39,Quantum Key: 818ecd29479e8afe65ed98ef3edcbcfc004114205905a9d31f3e6f569046cb04,Entropy: 1.44 bits,rect,circle
40,Quantum Key: 5204475772e0736cd934a31a582873e97724f729f6c59db2af213321749fd42f,Entropy: 1.42 bits,ellipse,rect
41,Quantum Key: 4c812826fd54097cada69f9d3cc7c5989e32980713f7a4ee967e56a13f76d60b,Entropy: 1.26 bits,ellipse,circle
